DetalleID,VentaID,ProductoID,Cantidad,Precio unitario
1,1,1,7,217.61
2,1,6,5,225.6
3,1,11,9,296.22
4,1,11,4,141.03
5,2,7,8,106.39
6,2,7,6,292.8
7,2,12,3,13.49
8,2,5,5,95.32
9,3,8,7,169.37
10,4,10,1,264.27
11,5,3,10,101.01
12,5,10,4,152.72
13,6,5,9,97.78
14,7,12,8,53.03
15,7,11,4,222.98
16,8,6,8,50.47
17,8,1,9,68.98
18,8,6,9,269.45
19,8,12,5,162.94
20,9,3,7,238.43
21,9,4,1,224.39
22,9,12,1,162.05
23,9,9,7,159.48
24,10,2,3,144.44
25,10,4,6,285.36
26,10,3,5,264.81
27,11,6,4,106.58
28,11,10,6,138.11
29,11,6,4,184.75
30,11,6,1,124.52
31,11,11,4,114.91
32,12,11,10,146.03
33,13,1,1,27.94
34,13,11,3,145.81
35,13,7,8,28.87
36,14,8,4,198.37
37,15,6,7,108.22
38,15,8,10,199.56
39,15,7,8,238.14
40,16,9,4,204.36
41,16,8,6,60.5
42,16,1,8,12.43
43,17,12,2,164.83
44,17,11,2,298.26
45,18,11,8,151.78
46,18,9,7,244.15
47,18,7,9,102.52
48,18,2,5,187.85
49,19,12,1,100.99
50,19,5,5,166.43
51,19,8,6,291.11
52,19,4,5,119.63
53,20,12,10,271.86
54,20,7,6,292.64
55,20,10,7,175.98
56,20,12,6,130.6
57,21,9,7,168.06
58,21,1,2,69.14
59,21,8,8,181.47
60,22,7,3,243.05
61,23,8,1,12.95
62,23,1,6,189.85
63,23,7,4,266.56
64,23,6,4,227.63
65,23,1,10,246.61
66,24,9,5,261.96
67,24,4,6,55.05
68,24,8,5,188.72
69,25,8,4,78.23
70,26,3,1,46.44
71,26,6,5,296.88
72,26,9,9,230.74
73,27,12,7,28.66
74,27,2,9,220.25
75,27,4,5,49.65
76,27,2,5,261.73
77,27,4,6,242.99
78,28,9,1,16.13
79,28,2,5,42.28
80,28,10,3,213.38
81,29,3,5,219.3
82,29,3,5,209.51
83,30,1,1,270.76
84,30,9,8,210.09
85,30,12,6,130.64
86,31,8,6,255.03
87,31,11,1,72.6
88,31,7,2,60.8
89,31,4,9,19.03
90,32,12,6,100.81
91,32,7,4,195.41
92,32,8,6,156.83
93,32,5,1,177.94
94,33,11,3,289.88
95,33,10,3,96.87
96,33,9,3,172.28
97,34,4,3,120.32
98,34,8,6,50.52
99,34,11,3,157.05
100,34,9,4,260.08
101,35,2,5,198.57
102,36,3,1,29.77
103,36,4,2,95.08
104,37,6,2,293.72
105,37,7,4,233.11
106,38,6,4,174.23
107,38,4,10,282.66
108,39,2,4,72.3
109,39,8,3,113.59
110,39,6,7,19.06
111,39,11,9,249.99
112,40,11,3,195.03
113,40,6,8,268.46
114,40,11,3,296.79
115,40,8,6,180.48
116,41,5,1,178.93
117,41,1,3,133.15
118,41,2,4,81.13
119,41,2,8,275.97
120,41,2,3,251.77
121,42,3,10,231.36
122,42,6,7,30.48
123,42,9,1,186.33
124,42,7,9,211.38
125,43,1,10,44.93
126,43,6,2,154.75
127,44,4,2,291.2
128,44,6,10,104.9
129,44,4,7,149.9
130,44,5,3,63.39
131,44,11,2,202.57
132,45,4,5,23.64
133,45,12,7,277.95
134,45,12,1,142.69
135,45,1,1,76.22
136,46,7,10,293.41
137,46,6,7,128.36
138,46,4,2,211.16
139,46,8,8,131.99
140,47,2,9,192.17
141,47,3,2,47.25
142,48,7,3,68.32
143,48,4,3,22.38
144,48,5,7,189.05
145,48,11,2,119.14
146,48,11,9,25.13
147,49,11,5,171.11
148,49,10,6,73.88
149,49,5,4,222.08
150,50,4,8,167.39
151,51,8,1,214.71
152,51,2,2,70.16
153,52,8,7,15.83
154,53,7,7,21.16
155,53,1,1,233.1
156,53,7,5,63.01
157,54,2,1,239.98
158,55,7,6,233.84
159,55,1,3,129.85
160,55,6,8,21.03
161,55,6,8,111.91
162,56,11,10,126.58
163,56,2,9,291.04
164,57,3,4,185.41
165,57,1,10,189.14
166,57,7,4,52.7
167,57,12,10,224.04
168,58,6,4,191.53
169,58,7,5,47.33
170,59,8,1,118.43
171,59,3,9,115.36
172,59,7,6,174.59
173,59,7,6,199.02
174,59,8,5,258.61
175,60,5,2,118.73
176,60,10,10,215.65
177,60,2,4,178.89
178,60,3,8,25.83
179,61,8,2,36.44
180,61,7,2,222.9
181,62,5,10,195.31
182,62,3,10,66.19
183,63,4,2,122.77
184,63,2,9,90.65
185,63,7,9,182.28
186,63,11,8,73.58
187,64,12,1,173.61
188,64,3,1,246.67
189,64,9,9,23.88
190,65,12,2,245.51
191,65,6,2,172.78
192,66,11,8,187.61
193,67,5,7,162.89
194,67,8,4,177.97
195,67,6,10,101.25
196,67,12,10,12.22
197,67,2,9,255.54
198,68,11,4,112.4
199,68,2,2,222.75
200,68,3,7,274.15
201,68,10,8,250.76
202,68,11,3,166.01
203,69,10,4,290.94
204,69,12,8,272.97
205,69,3,7,130.16
206,69,2,5,90.81
207,70,7,2,169.6
208,70,4,10,178.57
209,71,4,10,59.5
210,72,11,7,218.58
211,72,11,5,33.01
212,72,9,9,47.6
213,72,8,2,283.94
214,72,8,3,230.89
215,73,1,8,73.78
216,73,1,3,282.62
217,73,7,2,24.41
218,73,2,8,219.47
