InventarioID,ProductoID,Fecha del movimiento,Tipo de movimiento,Cantidad,ProveedorID
1,10,2023-11-21,Salida,62,30
2,4,2024-09-17,Entrada,13,35
3,4,2024-09-11,Entrada,19,6
4,10,2024-09-12,Entrada,31,20
5,1,2023-01-17,Entrada,41,37
6,11,2023-06-08,Salida,17,49
7,6,2024-02-17,Salida,28,31
8,7,2024-09-01,Entrada,95,26
9,6,2022-12-23,Salida,61,3
10,5,2024-04-07,Salida,25,20
11,5,2024-06-11,Salida,63,22
12,7,2023-12-22,Salida,77,1
13,12,2023-02-07,Entrada,60,18
14,4,2023-06-19,Salida,61,12
15,10,2022-11-26,Entrada,41,49
16,1,2022-11-15,Entrada,70,46
17,10,2024-05-14,Salida,81,1
18,3,2022-12-09,Salida,38,32
19,7,2024-04-07,Salida,86,19
20,10,2024-03-05,Entrada,79,49
21,10,2023-11-30,Salida,49,12
22,3,2023-07-11,Entrada,57,43
23,4,2024-05-17,Entrada,17,19
24,6,2024-02-04,Salida,43,36
25,10,2023-02-23,Salida,44,42
26,2,2024-03-17,Entrada,49,42
27,7,2023-11-15,Entrada,97,4
28,2,2023-03-22,Entrada,17,14
29,7,2022-12-28,Entrada,78,39
30,1,2023-07-05,Salida,83,7
31,4,2022-11-17,Entrada,51,24
32,9,2024-04-19,Salida,44,16
33,9,2022-11-12,Entrada,24,21
34,9,2023-04-23,Salida,39,1
35,3,2023-04-30,Entrada,74,11
36,12,2023-06-04,Salida,36,50
37,3,2023-06-22,Entrada,72,9
38,9,2024-06-06,Entrada,43,44
39,7,2024-01-22,Entrada,6,43
40,5,2024-04-28,Entrada,48,10
41,2,2023-07-26,Entrada,97,45
42,11,2024-07-08,Entrada,42,47
43,12,2023-09-21,Salida,88,15
44,9,2024-01-15,Entrada,41,2
45,3,2024-04-10,Entrada,2,33
46,4,2024-01-17,Salida,68,32
47,5,2023-09-06,Entrada,66,9
48,1,2024-08-08,Salida,47,38
49,9,2022-10-30,Salida,54,35
50,11,2024-04-06,Salida,10,22
51,9,2022-11-22,Salida,60,16
52,1,2023-05-19,Salida,50,17
53,3,2022-12-06,Salida,82,6
54,3,2023-12-23,Entrada,46,4
55,5,2023-11-26,Salida,92,11
56,2,2024-04-27,Entrada,20,13
57,7,2023-12-08,Entrada,31,43
58,8,2024-06-02,Entrada,95,33
59,10,2023-03-02,Entrada,83,9
60,3,2022-11-03,Entrada,25,43
61,12,2024-07-21,Entrada,35,12
62,9,2023-04-12,Entrada,83,46
63,4,2024-07-29,Entrada,66,36
64,6,2023-05-11,Salida,73,48
65,9,2024-09-28,Entrada,92,16
66,12,2024-08-02,Entrada,26,16
67,6,2024-09-26,Entrada,64,15
68,10,2023-07-02,Salida,84,45
69,1,2024-02-22,Entrada,48,30
70,1,2022-11-10,Salida,18,3
71,4,2023-04-16,Salida,27,9
72,2,2023-09-10,Entrada,26,21
73,8,2024-06-23,Entrada,69,27
74,6,2023-07-13,Salida,84,44
75,6,2023-11-24,Salida,37,5
76,4,2024-06-18,Salida,68,44
77,2,2024-02-17,Entrada,81,25
78,3,2023-07-22,Salida,99,12
79,2,2024-03-08,Entrada,63,8
80,1,2024-03-26,Entrada,39,27
81,4,2023-01-22,Entrada,55,6
82,12,2023-10-05,Salida,42,30
83,2,2023-01-13,Salida,30,34
84,8,2024-08-18,Salida,40,47
85,7,2024-09-02,Salida,63,4
86,5,2023-11-24,Salida,4,9
87,6,2024-06-09,Entrada,55,33
88,4,2024-01-30,Salida,23,19
89,6,2023-06-05,Salida,73,13
90,4,2023-08-03,Entrada,78,47
91,9,2024-01-17,Entrada,87,20
92,6,2022-11-10,Salida,96,43
93,10,2022-10-18,Salida,13,44
94,12,2022-12-15,Salida,100,35
95,8,2024-04-28,Salida,47,24
96,7,2024-08-23,Entrada,41,39
97,1,2024-06-19,Salida,31,28
98,2,2023-07-18,Salida,37,34
99,6,2023-07-30,Salida,25,30
100,4,2024-09-22,Salida,49,10
101,2,2023-07-04,Entrada,43,27
102,7,2024-06-03,Salida,20,8
103,8,2024-05-21,Entrada,64,5
104,7,2023-01-25,Salida,36,4
105,7,2024-06-18,Salida,40,22
106,11,2023-04-26,Entrada,91,48
107,12,2023-03-21,Entrada,60,18
108,8,2023-07-01,Salida,56,38
109,2,2023-03-06,Salida,36,43
110,8,2023-01-27,Salida,40,49
111,12,2023-09-27,Salida,51,5
112,8,2023-11-04,Entrada,10,3
113,4,2023-08-22,Salida,28,19
114,8,2023-11-05,Salida,10,27
115,1,2023-07-28,Entrada,32,8
116,4,2024-06-11,Salida,9,19
