ProveedorID,Nombre del proveedor,Pais,Telefono,Correo,Direccion,Tipo de producto suministrado
1,Blanco-Moreno,Colombia,4670323,blanco-moreno@gmail.com,"Via Raúl Conde 55
Lugo, 50946",Materiales decorativos
2,"Pastor, Almeida and Valencia",Argentina,6002982,"pastor,almeidaandvalencia@gmail.com","Rambla Miguel Pazos 21
Guipúzcoa, 24685",Materiales decorativos
3,Carbó-Dueñas,Argentina,8242474,carbó-dueñas@gmail.com,"C. Marcela Angulo 3
Sevilla, 12708",Materiales decorativos
4,"Agudo, Jerez and Benavides",Colombia,5990570,"agudo,jerezandbenavides@gmail.com","Callejón Tiburcio Lamas 74
Sevilla, 36034",Materiales decorativos
5,"Mesa, Verdugo and Bonilla",Colombia,2018974,"mesa,verdugoandbonilla@gmail.com","Pasaje Lupe Real 73 Puerta 4 
Segovia, 51254",Flores
6,"Río, Barriga and Amat",Chile,7960621,"río,barrigaandamat@gmail.com","Cañada Juan Antonio Valera 33
Valladolid, 57583",Flores
7,"Moll, Guardiola and Mayoral",Peru,2927201,"moll,guardiolaandmayoral@gmail.com","Pasaje Eulalia Carretero 98
Cantabria, 34138",Flores
8,Melero and Sons,Peru,5349683,meleroandsons@gmail.com,"Pasadizo de María Manuela Niño 257
Santa Cruz de Tenerife, 02361",Materiales decorativos
9,Larrañaga Ltd,Peru,7967998,larrañagaltd@gmail.com,"Pasadizo Carolina Salas 15
Málaga, 47986",Flores
10,Torrent-Alonso,Chile,2661133,torrent-alonso@gmail.com,"Camino de Paula Cazorla 935 Puerta 8 
Burgos, 30038",Flores
11,Martí-Batalla,Ecuador,3384121,martí-batalla@gmail.com,"Calle Rodrigo Manso 7 Apt. 48 
Barcelona, 61964",Materiales decorativos
12,Solano-Lladó,Ecuador,3757387,solano-lladó@gmail.com,"Rambla Dimas Bertrán 35
Granada, 07290",Materiales decorativos
13,Llorente Ltd,Chile,4781056,llorenteltd@gmail.com,"Urbanización de Alicia Carvajal 83 Piso 2 
Cantabria, 30000",Materiales decorativos
14,"Tejedor, Arnal and Maestre",Chile,6020129,"tejedor,arnalandmaestre@gmail.com","Alameda Javiera Navarrete 28 Apt. 37 
Vizcaya, 65575",Materiales decorativos
15,"Vidal, Querol and Espada",Chile,4519263,"vidal,querolandespada@gmail.com","Camino de Mateo Duarte 39
La Rioja, 40256",Flores
16,Pujadas Ltd,Argentina,6975302,pujadasltd@gmail.com,"Callejón de Asunción Menendez 98 Puerta 5 
Álava, 51701",Materiales decorativos
