VentaID,ClienteID,Fecha de venta,Total de venta,Método de pago,Estado de entrega
1,44,2023-06-20,187.38,Efectivo,Cancelado
2,199,2024-04-28,289.53,Tarjeta de crédito,Entregado
3,223,2024-09-28,56.88,Tarjeta de crédito,Entregado
4,416,2024-03-16,162.16,Tarjeta de crédito,Entregado
5,974,2024-02-03,199.32,Tarjeta de crédito,Cancelado
6,888,2023-01-09,110.14,Efectivo,Entregado
7,587,2023-03-12,459.12,Efectivo,Cancelado
8,84,2023-06-17,166.98,Transferencia,Pendiente
9,10,2024-01-22,368.7,Efectivo,Entregado
10,181,2024-04-22,446.1,Transferencia,Cancelado
11,24,2024-01-06,154.51,Efectivo,Cancelado
12,982,2024-01-16,74.91,Tarjeta de crédito,Pendiente
13,981,2023-11-23,267.66,Transferencia,Pendiente
14,290,2024-06-21,435.06,Tarjeta de crédito,Entregado
15,965,2024-10-08,55.15,Tarjeta de crédito,Pendiente
16,818,2024-06-19,432.07,Efectivo,Pendiente
17,691,2023-07-25,231.07,Tarjeta de crédito,Cancelado
18,795,2023-05-15,52.2,Efectivo,Cancelado
19,914,2023-02-04,131.26,Efectivo,Pendiente
20,932,2023-03-31,284.84,Tarjeta de crédito,Entregado
21,336,2024-05-07,468.18,Efectivo,Entregado
22,464,2024-07-09,90.76,Efectivo,Pendiente
23,389,2023-10-26,57.04,Efectivo,Entregado
24,672,2023-03-07,107.71,Efectivo,Entregado
25,892,2023-03-02,349.0,Tarjeta de crédito,Pendiente
26,398,2023-06-13,351.81,Transferencia,Entregado
27,959,2023-02-02,422.83,Tarjeta de crédito,Pendiente
28,14,2023-11-25,39.76,Efectivo,Pendiente
29,382,2023-08-01,219.05,Tarjeta de crédito,Pendiente
30,708,2023-05-19,62.12,Transferencia,Cancelado
31,895,2024-09-23,361.96,Efectivo,Entregado
32,763,2023-12-17,116.88,Tarjeta de crédito,Entregado
33,545,2023-01-08,241.04,Efectivo,Entregado
34,799,2024-07-07,412.81,Tarjeta de crédito,Entregado
35,212,2022-10-14,211.25,Tarjeta de crédito,Pendiente
36,576,2023-04-26,124.98,Tarjeta de crédito,Entregado
37,32,2022-11-19,326.89,Efectivo,Pendiente
38,558,2023-06-13,390.34,Efectivo,Pendiente
39,23,2023-12-18,108.94,Transferencia,Pendiente
40,779,2023-10-31,306.29,Efectivo,Entregado
41,80,2023-05-17,23.17,Efectivo,Entregado
42,39,2024-06-19,31.1,Transferencia,Entregado
43,708,2024-05-11,369.95,Tarjeta de crédito,Entregado
44,852,2023-05-13,324.49,Tarjeta de crédito,Pendiente
45,65,2023-12-06,479.65,Tarjeta de crédito,Entregado
46,304,2023-05-25,310.07,Transferencia,Pendiente
47,15,2024-03-23,185.56,Efectivo,Entregado
48,956,2023-09-23,95.54,Efectivo,Cancelado
49,666,2023-11-19,259.71,Tarjeta de crédito,Entregado
50,588,2024-10-11,140.43,Efectivo,Pendiente
51,392,2023-06-04,89.28,Tarjeta de crédito,Cancelado
52,283,2024-02-10,235.52,Tarjeta de crédito,Entregado
53,941,2024-05-31,207.31,Transferencia,Entregado
54,705,2024-06-17,41.21,Tarjeta de crédito,Cancelado
55,429,2024-02-14,172.58,Efectivo,Pendiente
56,984,2024-01-08,62.86,Efectivo,Cancelado
57,658,2024-07-10,263.72,Efectivo,Entregado
58,563,2023-08-20,244.35,Tarjeta de crédito,Entregado
59,274,2023-12-03,294.04,Transferencia,Pendiente
60,813,2023-10-23,251.27,Efectivo,Entregado
61,817,2023-09-20,370.38,Tarjeta de crédito,Cancelado
62,989,2023-01-27,491.66,Tarjeta de crédito,Cancelado
63,55,2024-02-08,381.51,Tarjeta de crédito,Cancelado
64,938,2024-07-12,29.83,Transferencia,Entregado
65,319,2023-05-05,323.65,Transferencia,Entregado
66,318,2023-06-02,20.58,Efectivo,Cancelado
67,641,2023-06-23,73.13,Transferencia,Pendiente
68,689,2024-01-30,60.17,Tarjeta de crédito,Entregado
69,135,2023-03-08,105.29,Efectivo,Entregado
70,703,2023-03-10,294.8,Efectivo,Entregado
71,667,2024-06-03,347.43,Transferencia,Entregado
72,14,2023-10-26,296.87,Efectivo,Cancelado
73,357,2023-09-05,113.72,Tarjeta de crédito,Entregado
74,851,2024-10-09,327.44,Transferencia,Pendiente
75,312,2024-04-12,72.89,Transferencia,Entregado
76,248,2022-10-14,275.46,Efectivo,Cancelado
77,884,2023-08-17,273.03,Transferencia,Cancelado
78,879,2024-04-30,419.56,Transferencia,Cancelado
79,750,2023-12-10,130.74,Efectivo,Pendiente
80,226,2023-03-05,434.89,Tarjeta de crédito,Cancelado
81,991,2023-03-20,156.33,Transferencia,Cancelado
82,344,2023-12-15,274.82,Efectivo,Pendiente
83,107,2023-05-06,246.18,Transferencia,Pendiente
84,865,2023-03-09,419.9,Efectivo,Entregado
85,990,2023-12-06,43.67,Transferencia,Cancelado
86,428,2022-12-21,38.43,Transferencia,Cancelado
87,155,2023-04-24,231.07,Efectivo,Entregado
88,127,2023-05-05,440.1,Efectivo,Cancelado
89,240,2023-01-18,418.05,Efectivo,Pendiente
90,63,2022-11-03,66.32,Transferencia,Entregado
91,697,2023-09-07,37.77,Tarjeta de crédito,Cancelado
92,81,2023-06-05,488.32,Tarjeta de crédito,Pendiente
93,996,2023-05-25,74.28,Efectivo,Cancelado
94,911,2024-04-27,389.33,Transferencia,Pendiente
95,478,2023-06-16,178.74,Efectivo,Cancelado
96,792,2024-10-02,357.23,Transferencia,Cancelado
97,355,2023-01-24,377.11,Transferencia,Pendiente
98,779,2024-10-04,429.01,Tarjeta de crédito,Entregado
99,443,2022-11-21,120.4,Tarjeta de crédito,Pendiente
100,76,2023-05-28,385.22,Transferencia,Entregado
101,212,2023-03-02,294.21,Tarjeta de crédito,Entregado
102,753,2024-01-24,153.52,Transferencia,Entregado
103,133,2024-02-22,275.94,Efectivo,Pendiente
104,425,2024-03-31,69.32,Transferencia,Pendiente
105,88,2022-11-09,345.52,Transferencia,Cancelado
106,936,2023-01-03,39.98,Transferencia,Entregado
107,730,2023-01-18,159.5,Tarjeta de crédito,Entregado
108,863,2022-10-27,398.57,Tarjeta de crédito,Cancelado
109,284,2023-08-02,77.29,Tarjeta de crédito,Entregado
110,216,2024-09-12,111.8,Tarjeta de crédito,Pendiente
111,281,2024-05-02,463.99,Transferencia,Pendiente
112,525,2024-02-03,269.08,Transferencia,Entregado
113,10,2023-05-03,279.37,Tarjeta de crédito,Entregado
114,743,2023-05-20,167.35,Tarjeta de crédito,Pendiente
115,99,2022-12-01,150.11,Efectivo,Cancelado
116,412,2024-03-12,342.46,Transferencia,Cancelado
117,989,2022-12-20,233.0,Transferencia,Pendiente
118,747,2023-04-17,250.13,Transferencia,Entregado
119,668,2023-10-27,433.68,Tarjeta de crédito,Cancelado
120,796,2023-12-22,144.92,Transferencia,Pendiente
121,927,2024-03-20,362.39,Tarjeta de crédito,Entregado
122,518,2023-11-22,477.85,Tarjeta de crédito,Cancelado
123,915,2023-07-19,52.79,Transferencia,Cancelado
124,777,2023-11-08,476.86,Tarjeta de crédito,Entregado
125,867,2023-11-26,152.53,Efectivo,Cancelado
126,403,2024-09-19,494.41,Transferencia,Pendiente
127,835,2024-03-10,421.17,Efectivo,Entregado
128,657,2023-09-14,278.05,Efectivo,Entregado
129,321,2024-02-16,308.8,Tarjeta de crédito,Cancelado
130,327,2024-09-13,162.74,Transferencia,Entregado
131,501,2023-03-01,466.46,Efectivo,Cancelado
132,211,2023-11-03,350.86,Transferencia,Entregado
133,886,2023-12-18,180.33,Transferencia,Cancelado
134,177,2023-09-05,259.91,Efectivo,Pendiente
135,295,2023-02-14,174.15,Efectivo,Entregado
136,141,2024-04-11,479.59,Tarjeta de crédito,Cancelado
137,193,2023-04-17,480.84,Efectivo,Entregado
138,806,2023-02-12,60.64,Tarjeta de crédito,Pendiente
139,455,2024-03-26,264.75,Tarjeta de crédito,Cancelado
